Lead Number;Name;Lead Origin;Lead Source;Converted;TotalVisits;Total Time Spent on Website;Page Views Per Visit;Country;Specialization;What is your current occupation;City;A free copy of Mastering The Interview
626221;Mapuii Rai;API;Olark Chat;0;0;0;0;;;;;No
626216;Manjulaben Pandey;Lead Add Form;Reference;1;0;0;0;;Select;Unemployed;Select;No
626212;Navinkumar Maurya;API;Google;0;1;1852;1;India;;;;No
626197;Shiny Divedi;API;Google;0;2;230;1;India;Select;Unemployed;Select;No
626188;Abneesh Mishra;API;Olark Chat;0;0;0;0;;;;;No
626187;Golu Mishra;Landing Page Submission;Organic Search;0;3;164;3;India;Finance Management;Unemployed;Other Cities;Yes
626184;Aawara Pandit;Landing Page Submission;Google;0;3;47;3;India;"Banking; Investment And Insurance";Unemployed;Mumbai;No
626180;Abneesh Mishra;API;Google;0;3;110;1.5;India;;;;No
626161;Horen Kumar;Landing Page Submission;Organic Search;1;14;1495;7;India;Travel and Tourism;Unemployed;Other Metro Cities;Yes
626142;Darmendra Thakur;Landing Page Submission;Organic Search;1;5;1221;5;India;Hospitality Management;;Other Metro Cities;Yes
626132;Nipun Rajput;API;Google;0;2;149;2;India;Select;Unemployed;Select;No
626092;Ck Yadav;API;Google;0;4;229;1.33;India;Select;Unemployed;Select;No
626068;Sansuma Rajput;Landing Page Submission;Direct Traffic;0;4;295;4;India;Media and Advertising;Unemployed;Other Cities;Yes
626060;Bhaskor Seth;API;Google;0;3;1570;1.5;India;Select;Unemployed;Select;No
626045;Jiwan Seth;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
626041;Abneesh Mishra;API;Olark Chat;0;0;0;0;;;;;No
626013;Om Parkash Srivastav;API;Olark Chat;0;0;0;0;;;;;No
626004;Prawin Kumar;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
626003;Diti Devi;API;Google;0;3;80;1.5;India;Select;Unemployed;Select;No
625995;Raza Rai;Landing Page Submission;Google;0;6;85;1.2;India;Media and Advertising;;Mumbai;Yes
625985;Sunam Kumari;Lead Add Form;Welingak Website;0;0;0;0;;Select;Unemployed;Select;No
625984;Kariya Rai;API;Google;1;6;1292;6;India;Hospitality Management;Unemployed;Mumbai;No
625971;Ramaswamy Singh;API;Google;0;3;536;3;India;;;;No
625970;Gurmel Mishra;API;Olark Chat;0;0;0;0;;;;;No
625939;Priyanshu Pandey;Landing Page Submission;Google;0;2;179;2;India;Healthcare Management;;Other Cities;No
625927;Rajmani Vishwakarma;API;Olark Chat;0;0;0;0;;;;;No
625906;Jahnavi Maurrya;API;Direct Traffic;1;8;19;4;India;Select;Unemployed;Select;No
625894;Warish Yadav;Landing Page Submission;Google;1;5;1303;5;India;Travel and Tourism;Unemployed;Mumbai;No
625892;Mehboob Rai;Landing Page Submission;Google;1;14;634;2;India;Supply Chain Management;Unemployed;Mumbai;No
625888;Vidyut Rai;API;Olark Chat;0;0;0;0;;IT Projects Management;Businessman;Thane & Outskirts;No
625886;Jayshree Sonkar;Landing Page Submission;Direct Traffic;0;6;181;1.5;India;Operations Management;;Thane & Outskirts;Yes
625880;Rajput Pandey;Landing Page Submission;Direct Traffic;0;6;259;2;India;E-Business;Unemployed;Other Cities of Maharashtra;Yes
625867;Ahmad Raza Rao;Landing Page Submission;Google;0;9;1400;3;India;Media and Advertising;;Mumbai;Yes
625866;Partha Pratim Tiwari;Landing Page Submission;Google;1;6;288;3;India;IT Projects Management;Unemployed;Thane & Outskirts;Yes
625862;Amartya Tiwari;Lead Add Form;Welingak Website;1;;1131;;;Select;Unemployed;Select;No
625850;Sujeet Kumar Srivastav;Landing Page Submission;Direct Traffic;1;4;1023;1.33;India;Marketing Management;;Other Cities;No
625835;Aanand Srivastav;API;Google;0;3;137;3;India;Select;Unemployed;Select;No
625824;Parameswari Gupta;Landing Page Submission;Google;0;6;193;6;India;Human Resource Management;;Mumbai;No
625793;Ramkripal Yadav;API;Olark Chat;1;0;0;0;;Select;Unemployed;Select;No
625785;Gayathri Tiwari;API;Olark Chat;0;0;0;0;;;;;No
625767;Bhagwat Mishra;Landing Page Submission;Direct Traffic;0;2;95;2;India;Healthcare Management;;Other Metro Cities;Yes
625756;Veeresh Tiwari;API;Olark Chat;0;0;0;0;;;;;No
625738;Abneesh Mishra;Landing Page Submission;Direct Traffic;0;3;1373;3;India;"Banking; Investment And Insurance";Unemployed;Other Metro Cities;Yes
625727;Pundalik Seth;Landing Page Submission;Direct Traffic;0;1;136;1;India;;;;No
625726;Vanaraj Pandey;Landing Page Submission;Direct Traffic;1;4;965;4;India;Finance Management;Unemployed;Other Metro Cities;Yes
625713;S H Singh;Landing Page Submission;youtubechannel;0;4;487;2;Canada;Business Administration;;;No
625702;Sulendar Sonkar;Landing Page Submission;Direct Traffic;0;2;154;2;India;Operations Management;;Mumbai;Yes
625683;Tulsa Yadav;Landing Page Submission;Google;0;2;1697;2;India;Business Administration;Unemployed;Mumbai;No
625680;Luckey Srivastav;Landing Page Submission;Google;0;2;510;2;India;Travel and Tourism;Unemployed;Mumbai;No
625678;Samarendra Kumari;API;Olark Chat;0;0;0;0;;Select;Unemployed;Select;No
